customer,day,daily_amount,nr_trans
customer1,2019-09-29 00:00:00+00:00,60.0,3
customer1,2019-10-11 00:00:00+00:00,50.0,1
customer1,2019-10-12 00:00:00+00:00,100.0,1
customer1,2019-10-13 00:00:00+00:00,10.0,1
customer1,2019-10-15 00:00:00+00:00,100.0,1
customer1,2019-10-16 00:00:00+00:00,200.0,2
customer1,2019-10-17 00:00:00+00:00,200.0,2
customer1,2019-10-25 00:00:00+00:00,150.0,2
customer1,2019-10-26 00:00:00+00:00,350.0,4
customer1,2019-10-27 00:00:00+00:00,300.0,3
customer1,2019-10-28 00:00:00+00:00,100.0,1
customer1,2019-10-29 00:00:00+00:00,200.0,2
customer1,2019-10-30 00:00:00+00:00,460.0,4
customer1,2019-10-31 00:00:00+00:00,230.0,3
customer1,2019-11-08 00:00:00+00:00,100.0,2
customer1,2019-11-09 00:00:00+00:00,200.0,5
customer1,2019-11-11 00:00:00+00:00,20.0,1
customer1,2019-11-22 00:00:00+00:00,220.0,3
customer1,2019-11-23 00:00:00+00:00,500.0,4
customer1,2019-11-24 00:00:00+00:00,130.0,2
customer1,2019-11-25 00:00:00+00:00,150.0,2
customer1,2019-11-26 00:00:00+00:00,260.0,4
customer1,2019-12-06 00:00:00+00:00,280.0,4
customer1,2019-12-07 00:00:00+00:00,650.0,9
customer1,2019-12-08 00:00:00+00:00,150.0,2
customer1,2019-12-09 00:00:00+00:00,100.0,1
customer1,2019-12-10 00:00:00+00:00,130.0,2
customer1,2019-12-20 00:00:00+00:00,250.0,3
customer1,2019-12-21 00:00:00+00:00,400.0,5
customer1,2019-12-22 00:00:00+00:00,70.0,3
customer1,2019-12-23 00:00:00+00:00,80.0,2
customer1,2020-01-03 00:00:00+00:00,100.0,2
customer1,2020-01-04 00:00:00+00:00,400.0,5
customer1,2020-01-05 00:00:00+00:00,100.0,1
customer1,2020-01-07 00:00:00+00:00,350.0,3
customer1,2020-01-08 00:00:00+00:00,650.0,5
customer1,2020-01-09 00:00:00+00:00,20.0,1
customer1,2020-01-10 00:00:00+00:00,330.0,4
customer1,2020-01-11 00:00:00+00:00,300.0,5
customer1,2020-01-17 00:00:00+00:00,200.0,3
customer1,2020-01-18 00:00:00+00:00,440.0,7
customer1,2020-01-22 00:00:00+00:00,350.0,4
customer1,2020-01-23 00:00:00+00:00,230.0,4
customer1,2020-01-27 00:00:00+00:00,670.0,8
customer1,2020-01-28 00:00:00+00:00,600.0,7
customer1,2020-01-29 00:00:00+00:00,200.0,4
customer1,2020-01-31 00:00:00+00:00,250.0,3
customer1,2020-02-01 00:00:00+00:00,200.0,2
customer1,2020-02-02 00:00:00+00:00,220.0,4
customer1,2020-02-03 00:00:00+00:00,200.0,3
customer1,2020-02-05 00:00:00+00:00,240.0,3
customer1,2020-02-06 00:00:00+00:00,300.0,4
customer1,2020-02-07 00:00:00+00:00,180.0,3
customer1,2020-02-14 00:00:00+00:00,190.0,5
customer1,2020-02-15 00:00:00+00:00,70.0,3
customer1,2020-02-28 00:00:00+00:00,100.0,1
customer10,2019-03-03 00:00:00+00:00,20.0,2
customer10,2019-03-05 00:00:00+00:00,60.0,4
customer10,2019-03-06 00:00:00+00:00,20.0,1
customer10,2019-03-09 00:00:00+00:00,20.0,1
customer10,2019-03-10 00:00:00+00:00,20.0,1
customer10,2019-03-12 00:00:00+00:00,20.0,1
customer10,2019-03-16 00:00:00+00:00,50.0,1
customer10,2019-03-20 00:00:00+00:00,20.0,1
customer10,2019-03-22 00:00:00+00:00,40.0,2
customer10,2019-03-23 00:00:00+00:00,30.0,2
customer10,2019-03-26 00:00:00+00:00,20.0,1
customer10,2019-03-29 00:00:00+00:00,20.0,1
customer10,2019-03-30 00:00:00+00:00,20.0,1
customer10,2019-04-05 00:00:00+00:00,20.0,1
customer10,2019-04-19 00:00:00+00:00,95.0,4
customer10,2019-04-25 00:00:00+00:00,50.0,1
customer10,2019-04-27 00:00:00+00:00,50.0,1
customer10,2019-04-28 00:00:00+00:00,30.0,1
customer10,2019-05-08 00:00:00+00:00,20.0,1
customer10,2019-05-12 00:00:00+00:00,25.0,1
customer10,2019-05-13 00:00:00+00:00,45.0,2
customer10,2019-05-17 00:00:00+00:00,25.0,1
customer10,2019-05-19 00:00:00+00:00,335.0,6
customer10,2019-05-21 00:00:00+00:00,90.0,3
customer10,2019-05-22 00:00:00+00:00,70.0,2
customer10,2019-05-24 00:00:00+00:00,125.0,3
customer10,2019-05-25 00:00:00+00:00,60.0,2
customer10,2019-06-02 00:00:00+00:00,240.0,4
customer10,2019-06-03 00:00:00+00:00,30.0,1
customer10,2019-06-11 00:00:00+00:00,120.0,6
customer10,2019-06-12 00:00:00+00:00,30.0,3
customer10,2019-06-13 00:00:00+00:00,80.0,4
customer10,2019-06-14 00:00:00+00:00,324.0,8
customer10,2019-06-15 00:00:00+00:00,140.0,5
customer10,2019-06-16 00:00:00+00:00,50.0,2
customer10,2019-06-19 00:00:00+00:00,150.0,7
customer10,2019-06-23 00:00:00+00:00,29.0,2
customer10,2019-06-24 00:00:00+00:00,30.0,2
customer10,2019-06-25 00:00:00+00:00,80.0,5
customer10,2019-06-26 00:00:00+00:00,69.0,3
customer10,2019-06-27 00:00:00+00:00,29.0,2
customer10,2019-06-30 00:00:00+00:00,90.0,3
customer10,2019-07-01 00:00:00+00:00,140.0,5
customer10,2019-07-03 00:00:00+00:00,20.0,1
customer10,2019-07-04 00:00:00+00:00,247.0,11
customer10,2019-07-05 00:00:00+00:00,120.0,5
customer10,2019-07-06 00:00:00+00:00,40.0,2
customer10,2019-07-07 00:00:00+00:00,10.0,1
customer10,2019-07-08 00:00:00+00:00,10.0,1
customer10,2019-07-09 00:00:00+00:00,79.0,4
customer10,2019-07-10 00:00:00+00:00,10.0,1
customer10,2019-07-16 00:00:00+00:00,40.0,2
customer10,2019-07-17 00:00:00+00:00,90.0,4
customer10,2019-07-18 00:00:00+00:00,99.0,6
customer10,2019-07-19 00:00:00+00:00,10.0,1
customer10,2019-07-20 00:00:00+00:00,100.0,6
customer10,2019-07-21 00:00:00+00:00,50.0,1
customer10,2019-07-22 00:00:00+00:00,35.0,1
customer10,2019-07-23 00:00:00+00:00,40.0,2
customer10,2019-07-24 00:00:00+00:00,20.0,1
customer10,2019-07-25 00:00:00+00:00,40.0,2
customer10,2019-07-27 00:00:00+00:00,62.0,6
customer10,2019-07-28 00:00:00+00:00,10.0,1
customer10,2019-07-31 00:00:00+00:00,60.0,6
customer10,2019-08-01 00:00:00+00:00,20.0,1
customer10,2019-08-02 00:00:00+00:00,128.0,5
customer10,2019-08-03 00:00:00+00:00,130.0,6
customer10,2019-08-05 00:00:00+00:00,80.0,4
customer10,2019-08-06 00:00:00+00:00,248.0,11
customer10,2019-08-07 00:00:00+00:00,160.0,8
customer10,2019-08-08 00:00:00+00:00,98.0,4
customer10,2019-08-10 00:00:00+00:00,60.0,3
customer10,2019-08-13 00:00:00+00:00,30.0,1
customer10,2019-08-14 00:00:00+00:00,206.0,7
customer10,2019-08-15 00:00:00+00:00,277.0,10
customer10,2019-08-16 00:00:00+00:00,192.0,7
customer10,2019-08-17 00:00:00+00:00,208.0,7
customer10,2019-08-18 00:00:00+00:00,379.0,11
customer10,2019-08-19 00:00:00+00:00,59.0,2
