AccountIdentifier,month_x,month_y
customer1190,2019-03,2019-03
customer1191,2019-10,2020-01
customer1192,2019-03,2019-03
customer1193,2019-08,2019-09
customer1194,2019-05,2019-06
customer1195,2019-11,2020-02
customer1196,2019-03,2019-03
customer1197,2019-11,2019-12
customer1198,2019-12,2019-12
customer1199,2019-07,2019-07
customer12,2019-03,2020-02
customer120,2019-03,2019-12
customer1200,2019-11,2019-11
customer1201,2019-03,2019-03
customer1202,2020-01,2020-01
customer1203,2019-07,2019-12
customer1204,2019-03,2019-03
customer1205,2019-08,2019-08
customer1206,2020-01,2020-01
customer1207,2019-03,2019-03
customer1208,2019-09,2019-09
customer1209,2019-03,2019-03
customer121,2019-11,2020-02
customer1210,2019-04,2019-09
customer1211,2019-05,2019-05
customer1212,2019-03,2019-03
customer1213,2019-05,2019-08
customer1214,2019-06,2019-07
customer1215,2020-02,2020-02
customer1216,2019-08,2019-08
customer1217,2020-02,2020-02
customer1218,2019-03,2019-03
customer1219,2019-11,2019-11
customer122,2019-03,2020-02
customer1220,2019-05,2019-05
customer1221,2019-04,2019-04
customer1222,2019-08,2019-08
customer1223,2019-06,2019-07
customer1224,2019-03,2019-04
customer1225,2019-09,2019-09
customer1226,2019-10,2020-02
customer1227,2019-11,2019-11
customer1228,2019-03,2019-05
customer1229,2019-04,2019-05
customer123,2019-04,2020-01
customer1230,2019-03,2019-04
customer1231,2019-06,2019-07
customer1232,2019-04,2019-06
customer1233,2019-03,2019-03
customer1234,2019-05,2019-10
customer1235,2019-06,2019-06
customer1236,2019-05,2019-06
customer1237,2019-07,2020-02
customer1238,2020-01,2020-01
customer1239,2019-12,2019-12
customer124,2019-03,2019-09
customer1240,2019-04,2019-06
customer1241,2019-04,2019-05
customer1242,2020-02,2020-02
customer1243,2019-03,2019-03
customer1244,2019-03,2019-03
customer1245,2019-03,2019-06
customer1246,2019-08,2019-08
customer1247,2019-08,2019-08
customer1248,2019-07,2019-07
customer1249,2019-03,2019-03
customer125,2019-03,2020-02
customer1250,2019-03,2019-09
customer1251,2019-04,2019-04
customer1252,2019-06,2019-06
customer1253,2020-01,2020-01
customer1254,2019-03,2019-03
customer1255,2019-03,2019-03
customer1256,2019-03,2019-05
customer1257,2019-03,2020-01
customer1258,2019-03,2019-06
customer1259,2019-08,2019-08
customer126,2019-03,2020-02
customer1260,2019-03,2019-08
customer1261,2020-01,2020-01
customer1262,2019-08,2019-08
customer1263,2019-10,2019-10
customer1264,2020-01,2020-01
customer1265,2019-03,2019-03
customer1266,2019-03,2019-03
customer1267,2019-04,2019-04
customer1268,2019-06,2019-06
customer1269,2019-09,2019-09
customer127,2019-03,2020-02
customer1270,2019-05,2019-05
customer1271,2019-05,2019-05
customer1272,2019-03,2019-05
customer1273,2019-07,2019-07
customer1274,2019-03,2019-04
customer1275,2019-03,2019-06
customer1276,2019-04,2019-06
customer1277,2019-08,2019-08
customer1278,2020-01,2020-01
customer1279,2019-04,2019-05
customer128,2019-07,2020-02
customer1280,2019-09,2019-09
customer1281,2019-03,2019-04
customer1282,2020-01,2020-01
customer1283,2019-04,2019-05
customer1284,2019-09,2019-12
customer1285,2020-01,2020-01
customer1286,2019-03,2019-03
customer1287,2019-05,2019-05
customer1288,2019-10,2019-10
customer1289,2019-04,2019-04
customer129,2019-03,2019-12
customer1291,2019-12,2019-12
customer1292,2019-06,2019-09
customer1293,2019-08,2019-08
customer1294,2019-04,2019-04
customer1295,2019-04,2019-04
customer1296,2019-08,2019-10
customer1297,2019-04,2019-06
customer1298,2019-07,2020-02
customer1299,2020-02,2020-02
customer13,2019-09,2020-01
customer130,2019-03,2019-12
customer1300,2020-01,2020-02
customer1301,2019-03,2019-07
customer1302,2020-02,2020-02
customer1303,2019-05,2019-05
customer1304,2019-11,2019-11
customer1305,2019-04,2019-05
customer1306,2019-03,2020-01
customer1307,2019-07,2019-07
customer1308,2019-06,2019-09
customer1309,2019-12,2019-12
customer131,2019-03,2020-01
customer1310,2019-12,2019-12
customer1311,2019-06,2019-07
customer1312,2020-01,2020-01
customer1313,2019-05,2019-05
customer1314,2019-07,2019-07
customer1315,2019-03,2019-03
customer1316,2019-03,2019-05
customer1317,2019-07,2019-10
customer1318,2019-05,2019-06
customer1319,2020-02,2020-02
customer132,2019-07,2019-07
customer1320,2020-02,2020-02
customer1321,2019-08,2019-11
customer1322,2019-04,2019-04
customer1323,2019-09,2019-09
customer1324,2019-03,2019-04
customer1325,2019-08,2019-08
customer1326,2019-10,2019-10
customer1327,2020-02,2020-02
customer1328,2019-09,2019-09
customer1329,2019-09,2020-02
customer133,2019-05,2019-08
customer1330,2019-03,2019-03
customer1331,2019-03,2019-05
customer1332,2019-10,2019-10
customer1333,2019-05,2019-05
customer1334,2019-03,2019-03
customer1335,2019-07,2019-07
customer1336,2019-03,2019-03
customer1337,2019-03,2019-05
customer1338,2019-07,2019-07
customer1339,2019-03,2019-10
customer134,2019-08,2020-02
customer1340,2019-10,2019-10
customer1341,2019-03,2019-03
