AccountIdentifier,month_x,month_y
customer1841,2019-05,2019-05
customer1842,2019-03,2019-03
customer1843,2019-03,2019-03
customer1844,2020-02,2020-02
customer1845,2020-01,2020-02
customer1846,2019-03,2019-03
customer1847,2019-09,2019-09
customer1848,2019-09,2019-09
customer1849,2019-10,2019-10
customer185,2019-04,2020-02
customer1850,2019-07,2019-07
customer1851,2019-12,2019-12
customer1852,2019-05,2019-05
customer1853,2019-09,2019-09
customer1854,2019-03,2019-05
customer1855,2019-12,2019-12
customer1856,2019-03,2019-03
customer1857,2019-07,2019-07
customer1858,2019-03,2019-03
customer1859,2019-10,2019-10
customer186,2019-03,2019-07
customer1860,2019-11,2019-11
customer1861,2019-05,2019-05
customer1862,2019-08,2019-08
customer1863,2019-05,2019-06
customer1864,2019-03,2019-12
customer1865,2019-03,2019-03
customer1866,2019-03,2019-03
customer1867,2019-03,2019-06
customer1868,2019-05,2019-05
customer1869,2019-08,2019-08
customer187,2019-12,2019-12
customer1870,2019-03,2019-03
customer1871,2019-11,2019-11
customer1872,2019-03,2019-03
customer1873,2019-03,2019-03
customer1874,2019-08,2019-08
customer1875,2019-10,2019-10
customer1876,2020-01,2020-01
customer1877,2019-03,2019-03
customer1878,2019-03,2019-03
customer1879,2019-07,2019-10
customer188,2019-03,2020-02
customer1880,2019-12,2019-12
customer1881,2019-03,2019-06
customer1882,2019-12,2019-12
customer1883,2020-01,2020-01
customer1884,2019-03,2019-03
customer1885,2019-11,2019-11
customer1886,2020-02,2020-02
customer1887,2020-01,2020-01
customer1888,2019-10,2019-10
customer1889,2020-01,2020-01
customer189,2019-03,2020-02
customer1890,2019-04,2019-07
customer1891,2019-09,2019-09
customer1892,2019-09,2019-09
customer1893,2019-08,2019-08
customer1894,2019-08,2019-08
customer1895,2020-02,2020-02
customer1896,2019-06,2019-06
customer1897,2019-07,2019-07
customer1898,2020-02,2020-02
customer1899,2019-03,2019-05
customer19,2019-03,2020-02
customer190,2019-03,2019-09
customer1900,2020-02,2020-02
customer1901,2019-11,2019-11
customer1902,2019-05,2019-05
customer1903,2019-05,2019-05
customer1904,2020-02,2020-02
customer1905,2019-05,2019-05
customer1906,2019-03,2019-03
customer1907,2019-08,2019-08
customer1908,2020-02,2020-02
customer1909,2020-01,2020-01
customer191,2019-03,2019-11
customer1910,2019-10,2019-10
customer1911,2019-08,2019-08
customer1912,2019-05,2019-05
customer1913,2020-01,2020-01
customer1914,2019-03,2019-04
customer1915,2020-01,2020-01
customer1916,2019-03,2019-03
customer1917,2019-04,2019-04
customer1918,2019-06,2019-06
customer1919,2019-08,2019-08
customer192,2019-03,2020-02
customer1920,2019-05,2019-05
customer1921,2019-06,2019-06
customer1922,2019-06,2019-06
customer1923,2019-06,2019-06
customer1924,2019-09,2019-09
customer1925,2019-08,2019-08
customer1926,2019-11,2019-11
customer1927,2019-08,2019-08
customer1928,2019-10,2019-10
customer1929,2019-12,2019-12
customer193,2019-03,2019-08
customer1930,2019-12,2019-12
customer1931,2020-02,2020-02
customer1932,2020-01,2020-01
customer1933,2019-03,2019-03
customer1934,2019-12,2019-12
customer1935,2019-03,2019-05
customer1936,2019-07,2019-07
customer1937,2019-03,2019-03
customer1938,2019-11,2019-11
customer1939,2019-04,2019-04
customer194,2019-03,2020-02
customer1940,2020-01,2020-01
customer1941,2019-03,2019-04
customer1942,2019-11,2019-11
customer1943,2019-03,2019-09
customer1944,2020-01,2020-01
customer1945,2019-04,2019-04
customer1946,2019-03,2019-03
customer1947,2019-04,2019-04
customer1948,2019-05,2019-10
customer1949,2019-03,2019-03
customer195,2019-03,2020-02
customer1950,2019-07,2019-07
customer1951,2019-03,2019-03
customer1952,2019-12,2019-12
customer1953,2020-01,2020-01
customer1954,2019-03,2019-03
customer1955,2020-01,2020-02
customer1956,2019-08,2019-10
customer1957,2019-08,2019-08
customer1958,2019-07,2019-07
customer1959,2019-07,2019-07
customer196,2019-03,2020-02
customer1960,2019-12,2019-12
customer1961,2019-07,2019-07
customer1962,2019-11,2019-11
customer1963,2019-12,2019-12
customer1964,2020-01,2020-01
customer1965,2019-04,2019-04
customer1966,2019-07,2019-09
customer1967,2019-03,2019-03
customer1968,2019-03,2019-03
customer1969,2019-03,2019-03
customer197,2020-01,2020-01
customer1970,2019-10,2019-10
customer1971,2019-06,2019-06
customer1972,2019-03,2019-03
customer1973,2019-07,2019-07
customer1974,2019-04,2019-04
customer1975,2019-03,2019-03
customer1976,2019-12,2019-12
customer1977,2020-02,2020-02
customer1978,2019-10,2020-01
customer1979,2019-10,2019-10
customer198,2019-03,2020-02
customer1980,2020-01,2020-01
customer1981,2019-10,2019-10
customer1982,2019-11,2019-11
customer1983,2019-06,2019-06
customer1984,2019-06,2019-06
customer1985,2019-12,2019-12
customer1986,2019-08,2019-11
customer1987,2019-03,2019-03
customer1988,2019-03,2019-03
customer1989,2019-10,2019-10
customer199,2019-03,2019-04
customer1990,2019-05,2019-05
customer1991,2019-03,2019-03
customer1992,2019-03,2019-03
customer1993,2019-04,2019-10
customer1994,2019-11,2019-11
customer1995,2019-11,2019-11
customer1996,2019-09,2019-09
customer1997,2020-01,2020-01
customer1998,2019-06,2019-06
customer1999,2020-02,2020-02
customer2,2019-11,2020-02
customer20,2019-08,2019-12
customer200,2019-03,2019-08
customer2000,2019-06,2019-06
customer2001,2019-07,2019-07
customer2002,2019-03,2019-05
customer2003,2019-08,2019-08
customer2004,2020-01,2020-01
customer2005,2019-03,2019-03
customer2006,2019-03,2019-03
customer2007,2019-07,2019-07
customer2008,2019-08,2019-08
customer2009,2019-09,2019-11
customer201,2019-03,2019-12
customer2010,2019-03,2019-03
customer2011,2020-01,2020-01
customer2012,2019-04,2019-04
customer2013,2019-03,2019-03
customer2014,2019-03,2019-03
customer2015,2019-03,2019-03
customer2016,2019-03,2019-03
customer2017,2020-01,2020-01
customer2018,2019-03,2019-03
customer2019,2019-05,2019-05
customer202,2019-03,2019-06
customer2020,2019-12,2019-12
customer2021,2019-10,2019-10
customer2022,2020-02,2020-02
customer2023,2020-01,2020-01
customer2024,2020-02,2020-02
customer2025,2019-03,2019-03
customer2026,2019-03,2019-03
customer2027,2019-08,2019-08
customer2028,2019-12,2019-12
customer2029,2019-03,2019-03
customer203,2019-04,2019-08
customer2030,2019-11,2019-11
customer2031,2019-03,2019-03
customer2032,2019-06,2019-06
customer2033,2019-04,2019-04
customer2034,2019-11,2019-11
customer2035,2019-03,2019-03
customer2036,2019-11,2019-11
customer2037,2020-01,2020-01
customer2038,2019-07,2019-07
customer2039,2019-10,2019-10
customer204,2019-03,2019-05
customer2040,2019-03,2019-03
customer2041,2019-04,2019-04
customer2042,2019-12,2019-12
customer2043,2020-02,2020-02
customer2044,2019-07,2019-07
customer2045,2019-03,2019-03
customer2046,2019-12,2019-12
customer2047,2019-12,2019-12
customer2048,2020-02,2020-02
customer2049,2019-03,2019-03
customer205,2019-03,2020-02
customer2050,2019-03,2019-03
customer2051,2019-06,2019-07
customer2052,2019-12,2019-12
customer2053,2019-04,2019-04
customer2054,2020-01,2020-01
customer2055,2019-09,2019-09
customer2056,2019-04,2019-04
customer2057,2019-03,2019-03
customer2058,2019-07,2019-07
customer2059,2020-01,2020-01
customer206,2019-03,2019-07
customer2060,2019-03,2019-03
customer2061,2019-12,2020-01
customer2062,2020-01,2020-01
customer2063,2019-07,2019-07
customer2064,2019-06,2019-06
customer2065,2020-02,2020-02
customer2066,2019-05,2019-05
customer2067,2019-11,2019-11
customer2068,2019-12,2019-12
customer2069,2019-05,2020-02
customer207,2019-07,2019-10
customer2070,2019-07,2019-07
customer2071,2019-05,2019-06
customer2072,2019-12,2019-12
customer2073,2019-11,2019-11
customer2074,2019-10,2019-10
customer2075,2019-09,2019-09
customer2076,2019-11,2019-11
customer2077,2019-10,2019-10
customer2078,2019-09,2019-09
customer2079,2019-09,2019-09
customer208,2020-01,2020-01
customer2080,2019-05,2019-05
customer2081,2019-12,2019-12
customer2082,2019-09,2019-09
customer2083,2019-03,2019-03
customer2084,2020-01,2020-01
customer2085,2019-06,2019-06
customer2086,2019-09,2019-09
customer2087,2020-02,2020-02
customer2088,2019-10,2019-10
customer2089,2020-02,2020-02
customer209,2019-03,2020-02
customer2090,2019-03,2019-03
customer2091,2020-01,2020-01
customer2092,2019-07,2019-07
customer2093,2019-06,2019-06
customer2094,2019-07,2019-07
customer2095,2019-08,2019-08
customer2096,2019-05,2019-05
customer2097,2019-05,2019-05
customer2098,2019-03,2019-03
customer2099,2019-12,2019-12
customer21,2019-07,2020-02
customer210,2019-03,2019-12
customer2100,2020-02,2020-02
customer2101,2019-06,2019-06
customer2102,2019-04,2019-04
customer2103,2019-06,2019-06
customer2104,2019-09,2019-09
customer2105,2019-09,2019-09
customer2106,2019-04,2019-04
customer2107,2019-05,2019-05
customer2109,2020-01,2020-01
customer211,2019-03,2020-02
customer2110,2019-11,2019-11
customer2111,2019-09,2019-09
customer2112,2020-01,2020-01
customer2113,2020-01,2020-01
customer2114,2019-08,2019-08
customer2115,2019-07,2019-07
customer2116,2019-06,2019-06
customer2117,2019-05,2019-05
customer2118,2020-02,2020-02
customer2119,2020-02,2020-02
customer212,2019-07,2020-02
customer2120,2019-09,2019-09
customer2121,2019-07,2019-08
customer2122,2019-07,2019-09
customer2123,2019-04,2019-04
customer2124,2019-03,2019-03
customer2125,2019-10,2019-10
customer2126,2019-04,2019-04
customer2127,2019-04,2019-04
customer2128,2019-05,2019-05
customer2129,2019-05,2019-06
customer213,2019-04,2019-04
customer2130,2019-07,2019-08
customer2131,2019-08,2019-08
customer2132,2020-02,2020-02
customer2133,2019-09,2019-09
customer2134,2020-02,2020-02
customer2135,2020-01,2020-01
customer2136,2019-03,2019-03
customer2137,2020-01,2020-01
customer2138,2019-03,2019-03
customer2139,2019-12,2019-12
customer214,2019-03,2019-12
customer2140,2020-02,2020-02
customer2141,2019-03,2019-03
customer2142,2020-02,2020-02
customer2143,2019-03,2019-03
customer2144,2019-06,2019-06
customer2145,2020-02,2020-02
customer2146,2019-06,2019-06
customer2147,2019-06,2019-06
customer2148,2019-09,2019-10
customer2149,2019-09,2019-09
customer215,2019-03,2020-02
customer2150,2019-03,2019-03
customer2151,2019-12,2019-12
customer2152,2020-01,2020-01
customer2153,2020-01,2020-01
customer2154,2019-12,2019-12
customer2155,2019-03,2019-03
customer2156,2019-04,2019-04
customer2157,2020-02,2020-02
customer2158,2019-12,2019-12
customer2159,2019-04,2019-04
customer216,2019-03,2019-12
customer2160,2019-05,2019-05
customer2161,2019-10,2019-10
customer2162,2019-04,2019-04
customer2163,2019-04,2020-01
customer2164,2019-05,2019-05
customer2165,2019-07,2019-07
customer2166,2019-12,2019-12
customer2167,2019-07,2019-07
customer2168,2019-04,2019-04
customer2169,2019-09,2019-09
customer217,2019-06,2019-07
customer2170,2019-08,2019-08
customer2171,2019-04,2019-04
customer2172,2020-02,2020-02
customer2173,2019-04,2019-04
customer2174,2019-03,2019-03
customer2175,2019-12,2019-12
customer2176,2019-06,2019-06
customer2178,2019-03,2019-03
customer2179,2019-04,2019-04
customer218,2019-03,2020-02
customer2180,2019-08,2019-08
customer2181,2019-04,2019-04
customer2182,2019-04,2019-04
customer2183,2019-08,2019-08
customer2184,2019-03,2019-03
customer2185,2019-03,2019-03
customer2186,2019-03,2019-03
customer2187,2019-03,2019-03
customer2188,2019-07,2019-07
customer2189,2019-07,2019-07
customer219,2019-03,2020-02
customer2190,2019-11,2019-11
customer2191,2019-03,2019-03
customer2192,2019-05,2019-05
customer2193,2019-04,2019-04
customer2194,2019-06,2019-07
customer2195,2019-05,2019-07
customer2196,2019-09,2019-09
customer2197,2019-03,2019-03
customer2198,2020-01,2020-01
customer2199,2020-02,2020-02
customer22,2019-03,2019-11
customer220,2019-03,2019-10
customer2200,2019-11,2019-11
customer2201,2019-12,2019-12
customer2202,2019-07,2019-07
customer2203,2019-07,2019-07
customer2204,2019-03,2019-03
customer2205,2019-12,2019-12
customer2206,2019-10,2019-10
customer2207,2019-07,2019-07
customer2208,2020-01,2020-01
customer2209,2019-03,2019-03
customer221,2019-04,2020-02
customer2210,2020-02,2020-02
customer2211,2019-05,2019-05
customer2212,2019-09,2019-09
customer2213,2019-06,2019-06
customer2214,2019-11,2019-11
customer2215,2019-05,2019-07
customer2216,2020-02,2020-02
customer2217,2019-07,2019-07
customer2218,2020-01,2020-01
customer2219,2019-06,2019-06
customer222,2019-03,2019-04
customer2220,2019-03,2019-03
customer2221,2019-03,2019-03
customer2222,2020-01,2020-01
customer2223,2019-05,2019-05
customer2224,2019-03,2019-03
customer2225,2019-04,2019-04
customer2226,2019-11,2019-11
customer2227,2019-06,2019-06
customer2228,2019-05,2019-05
customer2229,2019-07,2019-07
customer223,2019-08,2020-02
customer2230,2019-03,2019-03
customer2231,2019-12,2019-12
customer2232,2019-03,2019-03
customer2233,2019-03,2019-03
customer2234,2019-07,2019-07
customer2235,2019-11,2019-11
customer2236,2019-06,2019-06
customer2237,2019-05,2019-05
customer2238,2019-06,2019-06
customer2239,2020-02,2020-02
customer224,2019-06,2020-01
customer2240,2019-05,2019-05
customer2241,2019-03,2019-03
customer2242,2019-04,2019-04
customer2243,2020-01,2020-01
customer2244,2019-04,2019-04
customer2245,2020-01,2020-01
customer2246,2019-04,2019-04
customer2247,2019-03,2019-03
customer2248,2019-08,2019-08
customer2249,2019-04,2019-04
customer225,2019-03,2020-02
customer2250,2020-01,2020-01
customer2251,2020-02,2020-02
customer2252,2019-03,2019-03
customer2253,2019-10,2019-10
customer2254,2019-04,2019-04
customer2255,2019-06,2019-06
customer2256,2019-03,2019-03
customer2257,2019-10,2019-10
customer2258,2019-03,2019-03
customer2259,2019-03,2019-07
customer226,2019-03,2019-03
customer2260,2019-10,2019-10
customer2261,2019-07,2019-07
customer2262,2019-10,2019-10
customer2263,2019-04,2019-04
customer2264,2019-05,2019-10
customer2265,2019-07,2019-07
customer2266,2019-10,2019-10
customer2267,2019-03,2019-03
customer2268,2019-09,2019-09
customer2269,2019-09,2019-09
customer227,2019-03,2020-02
customer2270,2019-07,2019-07
customer2271,2019-08,2019-08
customer2272,2019-03,2019-03
customer2273,2019-05,2019-05
customer2274,2019-05,2019-05
customer2275,2019-12,2019-12
customer2276,2019-08,2019-08
customer2277,2019-12,2019-12
customer2278,2019-03,2019-03
customer2279,2019-12,2019-12
customer228,2020-02,2020-02
customer2280,2019-05,2019-05
customer2281,2019-07,2019-07
customer2282,2019-08,2019-08
customer2283,2020-01,2020-01
customer2284,2019-07,2019-07
customer2285,2019-11,2019-11
customer2286,2019-09,2019-09
customer2287,2019-03,2019-03
customer2289,2020-02,2020-02
customer229,2019-03,2019-11
customer2290,2019-03,2019-03
customer2291,2019-05,2019-05
customer2292,2019-04,2019-04
customer2293,2020-01,2020-01
customer2294,2020-01,2020-01
customer2295,2020-01,2020-01
customer2296,2019-07,2019-07
customer2297,2019-07,2019-07
customer2298,2020-01,2020-01
customer2299,2019-08,2019-08
customer23,2019-08,2020-02
customer230,2019-03,2019-06
customer2300,2019-12,2019-12
customer2301,2020-01,2020-01
customer2303,2019-12,2019-12
customer2304,2019-10,2019-10
customer2305,2019-08,2019-08
customer2306,2019-03,2019-03
customer2307,2019-05,2019-11
customer2308,2019-10,2019-10
customer2309,2019-03,2019-03
customer231,2019-03,2019-11
customer2310,2019-05,2019-05
customer2311,2019-03,2019-03
customer2312,2019-05,2019-10
customer2313,2019-03,2019-06
customer2314,2020-02,2020-02
customer2315,2019-04,2019-04
customer2316,2019-04,2020-01
customer2318,2019-12,2019-12
customer2319,2019-05,2019-06
customer232,2019-03,2019-07
customer2320,2020-01,2020-01
customer2321,2019-08,2019-08
customer2322,2019-09,2019-09
customer2323,2019-05,2019-05
customer2324,2019-03,2020-02
customer2325,2020-02,2020-02
customer2326,2019-07,2019-07
customer2327,2019-07,2019-07
customer2328,2019-03,2019-09
customer2329,2019-11,2019-11
customer233,2019-03,2019-04
customer2330,2019-03,2019-11
customer2331,2019-10,2019-10
customer2332,2019-10,2019-10
customer2333,2019-06,2020-02
customer2334,2020-02,2020-02
customer2335,2020-01,2020-02
customer2336,2019-05,2019-07
customer2337,2019-04,2019-04
customer2338,2019-11,2019-11
customer2339,2019-08,2019-08
customer234,2019-03,2019-05
customer2340,2019-07,2019-07
customer2341,2019-12,2019-12
customer2342,2019-04,2019-04
customer2343,2020-01,2020-02
customer2344,2019-08,2019-08
customer2345,2019-12,2019-12
customer2346,2019-10,2019-10
customer2347,2019-12,2019-12
customer2348,2019-05,2019-05
customer2349,2019-07,2019-07
customer235,2019-12,2020-02
customer2350,2019-10,2019-10
customer2351,2019-05,2019-10
customer2352,2020-01,2020-01
customer2353,2020-01,2020-01
customer2354,2019-11,2019-11
customer2355,2019-08,2019-08
customer2356,2019-05,2019-05
customer2357,2019-11,2019-11
customer2358,2019-09,2019-09
customer2359,2019-12,2019-12
customer236,2019-03,2020-02
customer2360,2019-07,2019-07
customer2361,2019-09,2019-09
customer237,2019-03,2020-02
customer238,2019-03,2019-04
customer239,2020-02,2020-02
customer24,2019-03,2020-02
customer240,2019-03,2020-01
customer241,2019-09,2020-01
customer242,2019-04,2020-02
customer243,2019-03,2020-02
customer244,2019-05,2019-11
customer245,2019-03,2020-01
customer246,2019-03,2019-09
customer247,2019-03,2020-02
customer248,2019-11,2020-02
customer249,2019-04,2020-01
customer25,2019-03,2019-09
customer250,2019-03,2019-09
customer251,2019-07,2019-08
customer252,2019-04,2019-12
customer253,2019-04,2019-12
customer254,2019-03,2019-10
customer255,2020-01,2020-01
customer256,2019-03,2019-11
customer257,2019-06,2019-08
customer258,2019-09,2020-01
customer259,2019-12,2020-02
customer26,2019-03,2020-01
customer260,2019-03,2020-02
customer261,2019-03,2020-02
customer262,2019-03,2019-03
customer263,2019-03,2019-05
customer264,2019-11,2020-02
customer265,2019-07,2019-07
customer266,2019-03,2019-08
customer267,2019-11,2020-02
customer268,2019-03,2020-02
customer269,2019-03,2019-09
customer27,2019-03,2020-02
customer270,2019-03,2019-09
customer271,2019-08,2020-02
customer272,2019-04,2019-09
customer273,2019-08,2020-02
customer274,2019-04,2019-08
customer275,2019-03,2019-03
customer276,2019-03,2020-02
customer277,2019-03,2020-02
customer278,2019-11,2020-01
customer279,2019-04,2019-10
customer28,2019-03,2019-10
customer280,2020-01,2020-01
customer281,2019-12,2020-02
customer282,2020-01,2020-02
customer283,2019-06,2020-02
customer284,2019-03,2020-02
customer285,2019-03,2020-02
customer286,2019-03,2019-10
customer287,2019-06,2020-01
customer288,2019-03,2019-06
customer289,2019-03,2020-02
customer29,2019-03,2019-10
customer290,2019-03,2019-03
customer291,2019-04,2019-07
customer292,2019-06,2020-02
customer293,2019-03,2019-08
customer294,2019-03,2019-05
customer295,2019-06,2019-06
customer296,2019-03,2020-02
customer297,2019-03,2019-07
customer298,2019-03,2019-03
customer299,2020-02,2020-02
customer3,2019-06,2020-02
customer30,2019-05,2020-02
customer300,2019-07,2020-02
customer301,2019-08,2019-10
customer302,2019-03,2020-02
customer303,2019-11,2020-02
customer304,2019-03,2019-12
customer305,2019-04,2019-07
customer306,2019-05,2020-02
customer307,2020-01,2020-02
customer308,2019-05,2020-02
customer309,2019-03,2020-02
customer31,2019-03,2020-02
customer310,2019-03,2020-02
customer311,2020-02,2020-02
customer312,2019-03,2020-02
customer313,2019-03,2020-01
customer314,2019-08,2019-09
customer315,2019-04,2020-02
customer316,2019-03,2019-03
customer317,2020-01,2020-02
customer318,2019-03,2019-04
customer319,2019-05,2019-12
customer32,2019-04,2019-09
customer320,2019-04,2020-02
customer321,2019-03,2019-08
customer322,2019-04,2019-05
customer323,2020-02,2020-02
customer324,2019-03,2020-02
customer325,2019-03,2019-12
customer326,2019-06,2019-06
customer327,2019-03,2019-11
customer328,2019-11,2020-02
customer329,2019-03,2020-02
customer33,2019-03,2020-02
customer330,2019-03,2019-11
customer331,2019-07,2019-08
customer332,2019-03,2019-12
customer333,2019-09,2019-09
customer334,2019-03,2019-03
customer335,2020-02,2020-02
customer336,2019-04,2020-01
customer337,2019-11,2019-12
customer338,2020-01,2020-01
customer339,2019-03,2020-02
customer34,2019-03,2020-02
customer340,2019-03,2019-03
customer341,2019-03,2019-05
customer342,2020-02,2020-02
customer343,2019-11,2020-02
customer344,2019-03,2020-01
customer345,2019-03,2020-02
customer346,2019-03,2019-04
customer347,2019-10,2020-02
customer348,2019-03,2019-11
customer349,2020-01,2020-02
customer35,2019-03,2019-08
customer350,2019-03,2019-10
customer351,2019-08,2019-12
customer352,2019-09,2019-11
customer353,2019-05,2019-11
customer354,2019-12,2020-02
customer355,2019-03,2019-08
customer356,2019-10,2020-02
customer357,2019-03,2019-08
customer358,2019-03,2019-12
customer359,2019-03,2020-02
customer36,2019-03,2020-02
customer360,2019-07,2019-10
customer361,2019-03,2019-06
customer362,2019-03,2019-08
customer363,2019-03,2019-03
customer364,2019-04,2019-06
customer365,2019-03,2020-02
customer366,2019-04,2020-01
customer367,2019-12,2020-02
customer368,2019-07,2019-07
customer369,2019-10,2020-02
customer37,2019-03,2020-02
customer370,2019-03,2020-02
customer371,2020-02,2020-02
customer372,2019-03,2019-03
customer373,2019-06,2019-07
customer374,2019-03,2020-02
customer375,2019-03,2019-09
customer376,2019-07,2019-09
customer377,2019-04,2019-05
customer378,2019-09,2020-02
customer379,2019-03,2020-02
customer38,2019-03,2020-02
customer380,2019-03,2019-08
customer381,2019-10,2020-02
customer382,2019-03,2019-07
customer383,2019-06,2019-07
customer384,2019-04,2020-01
customer385,2019-05,2020-01
customer386,2019-03,2019-03
customer387,2019-03,2020-02
customer388,2020-01,2020-02
customer389,2020-01,2020-02
customer39,2019-03,2020-02
customer390,2019-03,2020-02
customer391,2019-03,2020-02
customer392,2019-03,2020-02
customer393,2019-06,2020-02
customer394,2019-05,2019-06
customer395,2019-03,2019-05
customer396,2019-03,2019-03
customer397,2019-06,2020-02
customer398,2019-03,2020-02
customer399,2019-03,2020-02
customer4,2019-03,2019-10
customer40,2019-03,2019-12
customer400,2019-07,2019-10
customer401,2019-03,2020-01
customer402,2019-07,2020-02
customer403,2019-12,2020-01
customer404,2019-03,2019-08
customer405,2019-11,2019-12
customer406,2020-02,2020-02
customer407,2019-03,2019-11
customer408,2019-11,2019-11
customer409,2019-11,2019-12
customer41,2019-04,2020-02
customer410,2019-03,2019-06
customer411,2019-03,2019-06
customer412,2019-03,2019-05
customer413,2019-03,2019-04
customer414,2019-05,2019-06
customer415,2019-11,2019-12
customer416,2019-09,2020-02
customer417,2019-12,2019-12
customer418,2019-03,2019-08
customer419,2019-03,2020-02
customer42,2019-03,2020-02
customer420,2019-07,2019-12
customer421,2019-03,2019-04
customer422,2019-03,2019-10
customer423,2020-01,2020-02
customer424,2019-03,2019-08
customer425,2019-03,2020-02
customer426,2019-12,2020-02
customer427,2019-03,2020-02
customer428,2019-07,2019-07
customer429,2019-03,2020-02
customer43,2019-07,2019-09
customer430,2019-03,2019-06
customer431,2019-05,2019-09
customer432,2019-10,2020-02
customer433,2019-03,2020-02
customer434,2020-02,2020-02
customer435,2019-03,2020-02
customer436,2019-03,2019-12
customer437,2019-04,2019-12
customer438,2019-03,2019-12
customer439,2019-10,2019-11
customer44,2019-03,2020-02
customer440,2019-04,2019-07
customer441,2019-04,2019-07
customer442,2019-07,2019-07
customer443,2020-01,2020-02
customer444,2019-09,2019-09
customer445,2019-04,2019-06
customer446,2019-07,2019-08
customer447,2019-08,2020-01
customer448,2019-12,2020-02
customer449,2019-03,2019-05
customer45,2019-05,2020-01
customer450,2019-03,2020-02
customer451,2019-03,2020-01
customer452,2019-03,2019-08
customer453,2019-12,2020-01
customer454,2019-03,2019-04
customer455,2019-06,2019-06
customer456,2019-04,2019-11
customer457,2019-03,2020-02
customer458,2019-03,2019-05
customer459,2019-05,2019-06
customer46,2019-03,2019-09
customer460,2019-10,2019-11
customer461,2019-03,2020-02
customer462,2019-08,2019-10
customer463,2019-05,2019-05
customer464,2020-02,2020-02
customer465,2020-01,2020-02
customer466,2019-11,2019-12
customer467,2019-06,2019-11
customer468,2020-02,2020-02
customer469,2019-03,2019-10
customer47,2019-03,2020-02
customer470,2019-03,2020-02
customer471,2019-12,2019-12
customer472,2019-03,2019-03
customer473,2019-10,2019-10
customer474,2019-10,2019-10
customer475,2019-03,2019-03
customer476,2019-07,2019-07
customer477,2019-03,2019-12
customer478,2019-04,2020-02
customer479,2019-03,2019-04
customer48,2019-03,2020-01
customer480,2019-03,2020-01
customer481,2019-08,2020-02
customer482,2019-06,2019-12
customer483,2019-03,2019-03
customer484,2019-04,2019-11
customer485,2019-03,2019-06
customer486,2019-03,2019-06
customer487,2020-02,2020-02
customer488,2019-11,2019-11
customer489,2019-03,2019-03
customer49,2019-06,2019-09
customer490,2019-03,2019-06
customer491,2019-03,2019-04
customer492,2019-03,2019-04
customer493,2019-03,2019-05
customer494,2019-03,2019-05
customer495,2019-03,2019-12
customer496,2019-05,2020-02
customer497,2019-07,2019-10
customer498,2020-01,2020-01
customer499,2019-03,2020-02
customer5,2019-09,2020-02
customer50,2019-03,2020-02
customer500,2019-04,2019-11
customer501,2019-03,2019-12
customer502,2019-03,2019-03
customer503,2019-03,2020-01
customer504,2019-04,2019-04
customer505,2019-04,2019-08
customer506,2019-05,2019-07
customer507,2019-03,2019-11
customer508,2019-03,2020-02
customer509,2019-03,2019-03
customer51,2019-06,2019-08
customer510,2019-07,2020-02
customer511,2019-03,2020-02
customer512,2019-03,2019-10
customer513,2019-03,2020-02
customer514,2019-05,2019-06
customer515,2019-09,2019-12
customer516,2019-08,2020-01
customer517,2019-09,2019-11
customer518,2020-01,2020-01
customer519,2020-01,2020-02
customer52,2019-03,2019-10
customer520,2019-03,2020-02
customer521,2019-05,2019-05
customer522,2019-06,2020-02
customer523,2020-01,2020-02
customer524,2019-04,2019-05
customer525,2019-08,2020-01
customer526,2019-04,2020-01
customer527,2020-01,2020-02
customer528,2019-11,2019-11
customer529,2019-09,2019-09
customer53,2019-03,2020-02
customer530,2019-03,2019-12
customer531,2019-03,2019-03
customer532,2019-11,2019-11
customer533,2019-12,2020-02
customer534,2019-07,2019-11
customer535,2019-03,2019-05
customer536,2019-08,2019-08
customer537,2019-03,2019-12
customer538,2019-03,2019-05
customer539,2019-05,2019-10
customer54,2019-06,2020-02
customer540,2019-03,2019-03
customer541,2019-03,2019-09
customer542,2019-04,2019-04
customer543,2019-03,2019-05
customer544,2019-05,2020-01
customer545,2019-05,2019-05
customer546,2019-03,2019-08
customer547,2019-05,2019-11
customer548,2019-11,2020-02
customer549,2019-09,2020-02
customer55,2019-05,2020-02
customer550,2019-03,2019-11
customer551,2019-03,2019-03
customer552,2019-03,2019-12
customer553,2019-11,2019-12
customer554,2019-03,2019-11
customer555,2020-01,2020-02
customer556,2019-11,2019-11
customer557,2019-04,2019-11
customer558,2019-03,2019-07
customer559,2019-06,2019-12
customer56,2019-03,2020-01
customer560,2020-01,2020-02
customer561,2019-03,2019-10
customer562,2019-06,2019-09
customer563,2019-03,2020-01
customer564,2020-02,2020-02
customer565,2019-03,2019-03
customer566,2019-03,2019-09
customer567,2019-03,2020-02
customer568,2019-03,2019-11
customer569,2019-06,2020-01
customer57,2019-03,2020-02
customer570,2019-10,2019-11
customer571,2019-12,2020-01
customer572,2019-07,2019-09
customer573,2019-03,2020-01
customer574,2019-10,2020-02
customer575,2019-03,2020-01
customer576,2019-08,2019-08
customer577,2019-03,2019-03
customer578,2019-09,2019-12
customer579,2019-04,2020-02
customer58,2019-03,2020-02
customer580,2019-03,2020-02
customer581,2019-06,2020-02
customer582,2019-03,2019-04
customer583,2019-04,2019-08
customer584,2019-03,2020-01
customer585,2019-03,2019-03
