customer,sum,std,m_avg_spent,first_active_in_days,last_active_in_days,nr_purchases,group
customer1082,480.94,49.54170231362532,160.31333333333333,343.0,272.0,14.0,1
customer1083,70.0,7.0710678118654755,70.0,353.0,353.0,2.0,1
customer1084,266.0,22.708295107001465,266.0,58.0,51.0,4.0,1
customer1085,425.0,11.261384598209185,53.125,365.0,89.0,28.0,1
customer1086,50.0,0.001,50.0,331.0,331.0,1.0,0
customer1087,1050.0,81.85352771872451,1050.0,301.0,301.0,9.0,1
customer1088,500.0,0.001,500.0,104.0,104.0,1.0,0
customer1089,265.0,22.14221709264404,265.0,44.0,30.0,9.0,1
customer109,11973.91,59.00947664916373,997.8258333333333,365.0,2.0,127.0,1
customer1090,3381.0,309.2170938210097,1690.5,357.0,306.0,10.0,1
customer1091,1300.0,221.92341021172146,433.3333333333333,120.0,7.0,5.0,1
customer1092,500.0,0.001,500.0,105.0,105.0,1.0,0
customer1093,414.0,7.440674456232873,59.142857142857146,347.0,15.0,23.0,1
customer1094,20.0,0.001,20.0,339.0,339.0,1.0,0
customer1095,40.0,0.001,40.0,25.0,25.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1097,50.0,0.001,50.0,304.0,304.0,1.0,0
customer1098,10.0,0.001,10.0,363.0,363.0,1.0,0
customer1099,335.0,12.920698295542874,167.5,366.0,332.0,10.0,1
customer11,410.0,8.764598212022147,58.57142857142857,251.0,20.0,11.0,1
customer110,170.0,15.0,170.0,191.0,190.0,4.0,1
customer1100,395.0,13.632070031119023,197.5,343.0,330.0,10.0,1
customer1101,8350.0,477.9216367869223,2783.3333333333335,366.0,233.0,11.0,1
customer1102,1120.0,12.619796324000607,1120.0,249.0,245.0,27.0,1
customer1103,25.0,0.001,25.0,233.0,233.0,1.0,0
customer1104,45.0,3.5355339059327378,45.0,25.0,25.0,2.0,1
customer1105,40.0,14.142135623730951,40.0,24.0,23.0,2.0,1
customer1106,350.0,20.412414523193153,175.0,81.0,42.0,6.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1108,800.0,37.79644730092272,266.6666666666667,252.0,11.0,7.0,1
customer1109,162.0,19.0,54.0,281.0,167.0,4.0,1
customer111,10109.0,37.29263367918065,1123.2222222222222,365.0,20.0,160.0,1
customer1110,787.0,32.47580295816838,787.0,364.0,357.0,10.0,1
customer1111,500.0,0.001,500.0,288.0,288.0,1.0,0
customer1112,45.0,3.5355339059327378,22.5,364.0,280.0,2.0,1
customer1113,100.0,0.001,100.0,255.0,255.0,1.0,0
customer1114,3996.0,153.97225251796036,1332.0,363.0,215.0,12.0,1
customer1115,570.0,25.22624895547565,190.0,132.0,36.0,11.0,1
customer1116,85.0,10.307764064044152,42.5,149.0,113.0,4.0,1
customer1117,25.02,0.6929646455628169,25.02,282.0,282.0,2.0,1
customer1118,20.0,0.001,20.0,321.0,321.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer112,5161.75,6.318972517790687,573.5277777777778,366.0,94.0,417.0,1
customer1120,300.0,0.001,300.0,204.0,204.0,1.0,0
customer1121,30.0,0.001,30.0,235.0,235.0,1.0,0
customer1122,525.0,30.618621784789728,525.0,77.0,77.0,6.0,1
customer1123,100.0,0.001,100.0,201.0,201.0,1.0,0
customer1124,200.0,36.14784456460256,100.0,352.0,301.0,6.0,1
customer1125,150.0,35.35533905932738,150.0,238.0,233.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1127,200.0,0.001,200.0,352.0,352.0,1.0,0
customer1128,600.0,15.07556722888818,300.0,358.0,305.0,11.0,1
