customer,sum,std,m_avg_spent,first_active_in_days,last_active_in_days,nr_purchases,group
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1371,225.0,31.45764348029479,75.0,281.0,168.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1374,65.0,10.606601717798213,65.0,109.0,109.0,2.0,1
customer1375,500.0,0.001,500.0,3.0,3.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1377,7000.0,500.0,3500.0,341.0,310.0,4.0,1
customer1378,2000.0,129.09944487358055,2000.0,257.0,257.0,6.0,1
customer1379,100.0,0.001,100.0,48.0,48.0,1.0,0
customer138,7634.97,238.83661437553155,1526.9940000000001,362.0,191.0,37.0,1
customer1380,25.0,0.001,25.0,31.0,31.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1382,250.0,0.001,250.0,109.0,109.0,1.0,0
customer1383,70.0,5.773502691896257,70.0,133.0,130.0,3.0,1
customer1384,135.0,14.404860290887935,67.5,183.0,162.0,5.0,1
customer1385,100.0,0.001,100.0,51.0,51.0,1.0,0
customer1386,110.0,63.63961030678928,110.0,301.0,299.0,2.0,1
customer1387,100.0,0.001,100.0,343.0,343.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1389,50.0,0.001,50.0,261.0,261.0,1.0,0
customer139,874.04,11.943293853053891,87.404,351.0,23.0,42.0,1
customer1390,250.0,25.0,125.0,33.0,4.0,4.0,1
customer1391,25.0,0.001,25.0,16.0,16.0,1.0,0
customer1392,750.0,176.7766952966369,375.0,267.0,242.0,2.0,1
customer1393,250.0,31.01458950082625,250.0,365.0,363.0,7.0,1
customer1394,50.0,0.001,50.0,133.0,133.0,1.0,0
customer1395,20.0,0.001,20.0,190.0,190.0,1.0,0
customer1396,163.0,12.737271891503896,54.333333333333336,352.0,199.0,7.0,1
customer1397,20.0,0.001,20.0,330.0,330.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1399,140.0,5.773502691896256,70.0,61.0,2.0,3.0,1
customer14,21315.0,29.907923535658536,1776.25,366.0,2.0,420.0,1
customer140,2755.0,34.68717637417476,918.3333333333334,364.0,281.0,63.0,1
customer1400,323.0,8.134289561274953,161.5,259.0,236.0,6.0,1
customer1401,250.0,0.001,250.0,309.0,309.0,1.0,0
customer1402,270.0,28.809720581775867,270.0,234.0,224.0,5.0,1
customer1403,10.0,0.001,10.0,359.0,359.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1405,310.0,11.338934190276817,155.0,362.0,171.0,7.0,1
customer1406,20.0,0.001,20.0,331.0,331.0,1.0,0
customer1407,50.0,0.001,50.0,126.0,126.0,1.0,0
customer1408,150.0,35.35533905932738,150.0,43.0,41.0,2.0,1
customer1409,100.0,0.001,100.0,73.0,73.0,1.0,0
customer141,5135.0,13.577626183889167,466.8181818181818,359.0,10.0,144.0,1
customer1410,50.0,0.001,50.0,317.0,317.0,1.0,0
customer1411,100.0,0.001,100.0,267.0,267.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1413,250.0,0.001,250.0,346.0,346.0,1.0,0
customer1414,215.0,9.977653603356424,107.5,70.0,39.0,8.0,1
customer1415,50.0,0.001,50.0,55.0,55.0,1.0,0
customer1416,50.0,0.001,50.0,264.0,264.0,1.0,0
customer1417,115.0,19.311050377094112,115.0,78.0,74.0,4.0,1
customer1418,548.0,25.006665778014735,274.0,57.0,13.0,12.0,1
customer1419,170.0,15.0,85.0,361.0,332.0,4.0,1
customer142,14089.0,25.87613791454143,1761.125,261.0,24.0,356.0,1
customer1420,30.0,0.001,30.0,352.0,352.0,1.0,0
customer1421,222.0,13.280197150781925,111.0,358.0,4.0,11.0,1
customer1422,95.0,0.001,95.0,198.0,198.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1424,50.0,0.001,50.0,36.0,36.0,1.0,0
customer1425,250.0,28.867513459481287,125.0,215.0,145.0,3.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1427,500.0,0.001,500.0,4.0,4.0,1.0,0
customer1428,150.0,35.35533905932738,75.0,155.0,133.0,2.0,1
customer1429,50.0,0.001,50.0,314.0,314.0,1.0,0
customer143,26099.0,164.52146127575946,2174.9166666666665,364.0,15.0,111.0,1
customer1431,3799.3,57.753747746686344,1899.65,366.0,283.0,12.0,1
customer1432,900.0,58.24823725107175,300.0,351.0,287.0,8.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1434,240.0,10.954451150103322,120.0,339.0,277.0,5.0,1
customer1435,375.0,88.38834764831844,375.0,358.0,358.0,2.0,1
customer1436,10.0,0.001,10.0,256.0,256.0,1.0,0
customer1437,50.0,0.001,50.0,156.0,156.0,1.0,0
customer1438,75.0,17.67766952966369,37.5,93.0,85.0,2.0,1
customer1439,69.0,1.7320508075688772,69.0,57.0,54.0,3.0,1
customer144,1200.83,6.207521610698082,133.42555555555555,366.0,120.0,71.0,1
customer1440,500.0,212.13203435596427,500.0,201.0,201.0,2.0,1
customer1441,25.0,0.001,25.0,303.0,303.0,1.0,0
customer1442,300.0,28.867513459481287,150.0,316.0,234.0,4.0,1
customer1443,85.0,3.5355339059327378,42.5,34.0,25.0,2.0,1
customer1444,250.0,0.001,250.0,300.0,300.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1446,25.0,0.001,25.0,167.0,167.0,1.0,0
customer1447,10.0,0.001,10.0,84.0,84.0,1.0,0
customer1448,100.0,0.001,100.0,28.0,28.0,1.0,0
customer1449,285.0,10.835622468770048,47.5,345.0,26.0,8.0,1
customer145,2495.0,16.446343549320343,249.5,300.0,8.0,86.0,1
customer1450,15.0,0.001,15.0,246.0,246.0,1.0,0
customer1451,120.0,4.879500364742666,120.0,365.0,355.0,7.0,1
customer1452,280.0,5.163977794943222,93.33333333333333,327.0,83.0,6.0,1
customer1453,95.25,1.414213562373095,47.625,361.0,267.0,9.0,1
customer1454,400.0,57.735026918962575,400.0,299.0,299.0,3.0,1
customer1455,250.0,0.001,250.0,214.0,214.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1457,100.0,0.001,100.0,169.0,169.0,1.0,0
customer1458,50.0,0.001,50.0,44.0,44.0,1.0,0
customer1459,50.0,0.001,50.0,86.0,86.0,1.0,0
customer146,588.71,8.422457388526134,294.355,47.0,7.0,26.0,1
customer1460,100.0,35.35533905932738,100.0,366.0,366.0,2.0,1
customer1461,32.0,1.4142135623730951,32.0,363.0,363.0,2.0,1
customer1462,500.0,50.00000000000001,250.0,335.0,254.0,4.0,1
customer1463,10.0,0.001,10.0,249.0,249.0,1.0,0
customer1464,100.0,0.001,100.0,41.0,41.0,1.0,0
customer1465,300.0,70.71067811865476,150.0,308.0,183.0,2.0,1
customer1466,50.0,0.001,50.0,8.0,8.0,1.0,0
customer1467,50.0,0.001,50.0,65.0,65.0,1.0,0
customer1468,40.0,0.001,40.0,306.0,306.0,1.0,0
customer1469,295.0,23.021728866442675,98.33333333333333,323.0,197.0,5.0,1
customer147,11272.0,28.048364213011016,939.3333333333334,365.0,25.0,246.0,1
customer1470,405.0,150.43270920913443,405.0,112.0,108.0,5.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1472,150.0,35.35533905932738,150.0,357.0,357.0,2.0,1
customer1473,20.0,0.001,20.0,255.0,255.0,1.0,0
customer1474,140.0,0.001,140.0,287.0,287.0,1.0,0
customer1475,100.0,14.433756729740644,100.0,365.0,364.0,3.0,1
customer1476,100.0,20.816659994661325,100.0,122.0,122.0,3.0,1
customer1477,50.0,0.001,50.0,218.0,218.0,1.0,0
customer1478,10.0,0.001,10.0,215.0,215.0,1.0,0
customer1479,150.0,0.001,150.0,160.0,160.0,1.0,0
customer148,2037.5,17.664517993314714,254.6875,366.0,124.0,53.0,1
customer1480,29.0,0.7071067811865476,14.5,278.0,252.0,2.0,1
customer1481,140.0,42.42640687119285,70.0,37.0,17.0,2.0,1
customer1482,100.0,0.001,100.0,182.0,182.0,1.0,0
customer1483,65.0,7.5,65.0,110.0,110.0,4.0,1
customer1484,165.0,7.2886898685566255,82.5,69.0,49.0,8.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1486,140.0,13.662601021279464,70.0,334.0,273.0,6.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1488,80.0,6.0553007081949835,26.666666666666668,291.0,113.0,6.0,1
customer1489,350.0,11.572751247156893,116.66666666666667,62.0,10.0,8.0,1
customer149,4423.0,18.757504567266846,1474.3333333333333,296.0,216.0,85.0,1
customer1490,105.0,3.720119045714225,26.25,323.0,231.0,8.0,1
customer1491,65.0,2.886751345948129,65.0,205.0,204.0,3.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1494,100.0,0.001,100.0,294.0,294.0,1.0,0
customer1495,100.0,0.001,100.0,296.0,296.0,1.0,0
customer1496,400.0,0.001,400.0,361.0,361.0,1.0,0
customer1497,100.0,0.001,100.0,63.0,63.0,1.0,0
customer1498,50.0,0.001,50.0,363.0,363.0,1.0,0
customer1499,47.0,9.192388155425117,47.0,305.0,304.0,2.0,1
customer15,24180.53,64.85999448255397,2686.7255555555553,300.0,2.0,618.0,1
customer150,1360.0,6.258048691107824,194.28571428571428,298.0,112.0,114.0,1
customer1500,10.0,0.001,10.0,7.0,7.0,1.0,0
customer1501,1995.0,356.37936247768334,997.5,227.0,89.0,4.0,1
customer1502,900.0,57.0087712549569,900.0,362.0,362.0,5.0,1
customer1503,2271.4,1040.436917837886,2271.4,365.0,341.0,2.0,1
customer1504,40.0,0.001,40.0,355.0,355.0,1.0,0
customer1505,400.0,40.824829046386306,400.0,223.0,222.0,4.0,1
customer1506,465.0,24.8746859276655,155.0,323.0,251.0,12.0,1
customer1507,75.0,17.67766952966369,75.0,103.0,103.0,2.0,1
customer1508,35.0,3.5355339059327378,17.5,49.0,2.0,2.0,1
customer1509,200.0,28.867513459481287,100.0,306.0,305.0,3.0,1
customer151,5902.0,80.59870807273433,983.6666666666666,200.0,2.0,77.0,1
customer1510,100.0,0.001,100.0,200.0,200.0,1.0,0
customer1511,100.0,0.001,100.0,336.0,336.0,1.0,0
customer1512,50.0,0.001,50.0,54.0,54.0,1.0,0
customer1513,200.0,0.001,200.0,105.0,105.0,1.0,0
customer1514,60.0,4.47213595499958,30.0,366.0,292.0,5.0,1
customer1515,20.0,0.001,20.0,361.0,361.0,1.0,0
customer1516,15.0,0.001,15.0,360.0,360.0,1.0,0
customer1517,50.0,0.001,50.0,62.0,62.0,1.0,0
customer1518,3000.0,288.6751345948129,1500.0,30.0,29.0,4.0,1
customer1519,55.0,2.2360679774997894,18.333333333333332,345.0,299.0,5.0,1
customer152,7900.0,130.2269723501448,2633.3333333333335,62.0,9.0,19.0,1
customer1520,10.0,0.001,10.0,315.0,315.0,1.0,0
customer1521,75.0,0.001,75.0,94.0,94.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1523,50.0,0.001,50.0,29.0,29.0,1.0,0
customer1524,20.0,0.001,20.0,91.0,91.0,1.0,0
customer1525,65.0,24.748737341529164,65.0,359.0,359.0,2.0,1
customer1526,50.0,0.001,50.0,144.0,144.0,1.0,0
customer1527,10.0,0.001,10.0,248.0,248.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1529,350.0,106.06601717798213,350.0,234.0,233.0,2.0,1
customer153,2655.0,48.867864510516334,379.2857142857143,334.0,41.0,33.0,1
customer1530,130.0,11.547005383792515,130.0,330.0,330.0,3.0,1
customer1531,20.0,0.001,20.0,34.0,34.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1533,100.0,0.001,100.0,345.0,345.0,1.0,0
customer1534,500.0,0.001,500.0,294.0,294.0,1.0,0
customer1535,125.0,4.85912657903775,62.5,337.0,335.0,9.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1537,100.0,0.001,100.0,296.0,296.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1539,300.0,22.360679774997898,150.0,211.0,109.0,5.0,1
customer154,2363.0,15.815391822158785,590.75,150.0,2.0,82.0,1
customer1540,10.0,0.001,10.0,344.0,344.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1542,200.0,0.001,200.0,177.0,177.0,1.0,0
customer1543,240.0,26.59887215654077,48.0,351.0,102.0,5.0,1
customer1544,50.0,0.001,50.0,137.0,137.0,1.0,0
customer1545,100.0,0.001,100.0,116.0,116.0,1.0,0
customer1546,50.0,0.001,50.0,185.0,185.0,1.0,0
customer1547,50.0,0.001,50.0,339.0,339.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1549,20.0,0.001,20.0,195.0,195.0,1.0,0
customer155,100926.0,235.35135757487444,8410.5,364.0,10.0,142.0,1
customer1550,250.0,0.001,250.0,187.0,187.0,1.0,0
customer1551,500.0,0.001,500.0,176.0,176.0,1.0,0
customer1552,250.0,0.001,250.0,141.0,141.0,1.0,0
customer1553,20.0,0.001,20.0,7.0,7.0,1.0,0
customer1554,225.0,17.67766952966369,225.0,294.0,286.0,2.0,1
customer1555,500.0,0.001,500.0,92.0,92.0,1.0,0
customer1556,350.0,106.06601717798213,350.0,72.0,72.0,2.0,1
customer1557,250.0,16.058227382456217,62.5,358.0,201.0,6.0,1
customer1558,25.0,0.001,25.0,366.0,366.0,1.0,0
customer1559,50.0,0.001,50.0,25.0,25.0,1.0,0
customer156,2920.0,15.772880132082825,486.6666666666667,206.0,37.0,87.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1561,500.0,0.001,500.0,69.0,69.0,1.0,0
customer1562,50.0,0.001,50.0,3.0,3.0,1.0,0
customer1563,20.0,0.001,20.0,288.0,288.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1566,50.0,0.001,50.0,202.0,202.0,1.0,0
customer1567,100.0,0.001,100.0,58.0,58.0,1.0,0
customer1568,350.0,37.771241264574115,175.0,158.0,130.0,6.0,1
customer1569,20.0,0.001,20.0,57.0,57.0,1.0,0
customer157,11800.0,52.19998764058685,2950.0,122.0,49.0,125.0,1
customer1570,50.0,0.001,50.0,211.0,211.0,1.0,0
customer1571,40.0,0.001,40.0,5.0,5.0,1.0,0
customer1572,55.0,7.637626158259733,27.5,330.0,160.0,3.0,1
customer1573,20.0,0.001,20.0,115.0,115.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1575,254.75,51.05445418047936,127.375,93.0,74.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1577,100.0,0.001,100.0,217.0,217.0,1.0,0
customer1578,140.0,2.7386127875258306,140.0,353.0,336.0,5.0,1
customer1579,125.0,14.433756729740644,125.0,292.0,284.0,3.0,1
customer158,5982.13,15.064020464316668,1495.5325,100.0,2.0,198.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1581,25.0,0.001,25.0,67.0,67.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1583,150.0,0.001,150.0,334.0,334.0,1.0,0
customer1584,50.0,0.001,50.0,31.0,31.0,1.0,0
customer1585,154.76,13.203449044346959,38.69,331.0,214.0,4.0,1
customer1586,40.0,0.001,40.0,50.0,50.0,1.0,0
customer1587,40.0,2.8867513459481287,20.0,360.0,234.0,3.0,1
customer1589,100.0,0.001,100.0,297.0,297.0,1.0,0
customer159,48945.0,162.79934398181075,4894.5,357.0,2.0,266.0,1
customer1590,2206.6,994.6163984169978,2206.6,365.0,352.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1592,40.0,0.001,40.0,39.0,39.0,1.0,0
customer1593,2000.0,230.9401076758503,1000.0,365.0,268.0,3.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1595,70.0,21.213203435596427,70.0,291.0,287.0,2.0,1
customer1596,15.0,0.001,15.0,350.0,350.0,1.0,0
customer1597,100.0,0.001,100.0,359.0,359.0,1.0,0
customer1598,50.0,0.001,50.0,54.0,54.0,1.0,0
customer1599,200.0,0.001,200.0,364.0,364.0,1.0,0
customer16,350.0,27.386127875258307,175.0,58.0,17.0,5.0,1
customer160,1065.0,6.728701489055191,1065.0,353.0,338.0,60.0,1
customer1600,135.0,8.660254037844387,135.0,49.0,47.0,3.0,1
customer1601,50.0,0.001,50.0,260.0,260.0,1.0,0
customer1602,50.0,0.001,50.0,197.0,197.0,1.0,0
customer1603,150.0,35.35533905932738,75.0,63.0,50.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1605,50.0,0.001,50.0,126.0,126.0,1.0,0
customer1606,10.0,0.001,10.0,125.0,125.0,1.0,0
customer1607,600.0,141.4213562373095,600.0,233.0,232.0,2.0,1
customer1608,10.0,0.001,10.0,225.0,225.0,1.0,0
customer1609,75.0,17.67766952966369,37.5,132.0,21.0,2.0,1
customer161,10147.0,72.0167314549563,2536.75,366.0,263.0,140.0,1
customer1610,50.0,0.001,50.0,147.0,147.0,1.0,0
customer1611,50.0,0.001,50.0,43.0,43.0,1.0,0
customer1612,35.0,0.001,35.0,135.0,135.0,1.0,0
customer1613,30.0,0.001,30.0,64.0,64.0,1.0,0
customer1614,100.0,0.001,100.0,261.0,261.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1616,70.0,21.213203435596427,70.0,54.0,38.0,2.0,1
customer1617,190.0,37.749172176353746,190.0,322.0,322.0,4.0,1
customer1618,90.0,2.3145502494313783,90.0,352.0,345.0,8.0,1
customer1619,50.0,0.001,50.0,134.0,134.0,1.0,0
customer162,168295.0,780.0245071956822,14024.583333333334,364.0,10.0,204.0,1
customer1620,150.0,35.35533905932738,150.0,242.0,232.0,2.0,1
customer1621,150.0,35.35533905932738,150.0,20.0,20.0,2.0,1
customer1622,505.0,37.74549274048787,168.33333333333334,343.0,267.0,10.0,1
customer1623,10.0,0.001,10.0,180.0,180.0,1.0,0
customer1624,10.0,0.001,10.0,11.0,11.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1626,20.0,0.001,20.0,41.0,41.0,1.0,0
customer1627,2000.0,288.67513459481285,2000.0,335.0,335.0,3.0,1
customer1628,300.0,0.001,300.0,362.0,362.0,1.0,0
customer1629,100.0,0.001,100.0,364.0,364.0,1.0,0
customer163,850.0,75.0,283.3333333333333,193.0,114.0,4.0,1
customer1630,50.0,0.001,50.0,274.0,274.0,1.0,0
customer1631,175.0,22.360679774997898,175.0,360.0,353.0,5.0,1
customer1632,10.0,0.001,10.0,41.0,41.0,1.0,0
customer1633,639.68,141.35843990838794,639.68,356.0,341.0,3.0,1
customer1634,500.0,0.001,500.0,338.0,338.0,1.0,0
customer1635,720.05,67.27895254354918,360.025,336.0,235.0,8.0,1
customer1636,200.0,70.71067811865476,100.0,89.0,19.0,2.0,1
customer1637,250.0,0.001,250.0,323.0,323.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1639,50.0,0.001,50.0,209.0,209.0,1.0,0
customer164,14545.0,53.58959238899082,1454.5,303.0,5.0,183.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1642,10.0,0.001,10.0,12.0,12.0,1.0,0
customer1643,50.0,0.001,50.0,28.0,28.0,1.0,0
customer1644,200.0,0.001,200.0,127.0,127.0,1.0,0
customer1645,500.0,0.001,500.0,180.0,180.0,1.0,0
customer1646,35.0,10.606601717798213,35.0,276.0,276.0,2.0,1
customer1648,10.0,0.001,10.0,350.0,350.0,1.0,0
customer1649,750.0,17.67766952966369,250.0,363.0,111.0,8.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1650,20.0,0.001,20.0,52.0,52.0,1.0,0
customer1651,150.0,35.35533905932738,150.0,209.0,209.0,2.0,1
customer1652,50.0,0.001,50.0,273.0,273.0,1.0,0
customer1653,25.0,0.001,25.0,252.0,252.0,1.0,0
customer1654,40.0,0.001,40.0,14.0,14.0,1.0,0
customer1655,50.0,0.001,50.0,235.0,235.0,1.0,0
customer1656,115.38,19.987866319344846,57.69,232.0,202.0,3.0,1
customer1657,550.0,76.37626158259734,550.0,270.0,270.0,3.0,1
customer1658,50.0,0.001,50.0,124.0,124.0,1.0,0
customer1659,100.0,0.001,100.0,28.0,28.0,1.0,0
customer166,6496.0,17.547435562244566,812.0,240.0,5.0,220.0,1
customer1661,50.0,0.001,50.0,300.0,300.0,1.0,0
customer1662,200.0,0.001,200.0,282.0,282.0,1.0,0
customer1663,85.0,31.81980515339464,42.5,148.0,64.0,2.0,1
customer1664,100.0,0.001,100.0,357.0,357.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1666,50.0,0.001,50.0,322.0,322.0,1.0,0
customer1667,30.0,0.001,30.0,231.0,231.0,1.0,0
customer1668,50.0,0.001,50.0,27.0,27.0,1.0,0
customer1669,25.0,3.5355339059327378,25.0,365.0,365.0,2.0,1
customer167,3466.0,39.00623604204812,385.1111111111111,364.0,17.0,95.0,1
customer1670,10.0,0.001,10.0,38.0,38.0,1.0,0
customer1671,50.0,0.001,50.0,193.0,193.0,1.0,0
customer1672,10.0,0.001,10.0,50.0,50.0,1.0,0
customer1673,200.0,0.001,200.0,365.0,365.0,1.0,0
customer1674,500.0,0.001,500.0,216.0,216.0,1.0,0
customer1675,100.0,0.001,100.0,52.0,52.0,1.0,0
customer1676,185.0,7.26483157256779,61.666666666666664,246.0,212.0,9.0,1
customer1677,340.0,21.679483388678797,340.0,366.0,358.0,5.0,1
customer1678,30.0,0.001,30.0,292.0,292.0,1.0,0
customer1679,50.0,0.001,50.0,103.0,103.0,1.0,0
customer168,5558.0,38.66982422855922,617.5555555555555,366.0,120.0,90.0,1
customer1680,10.0,0.001,10.0,274.0,274.0,1.0,0
customer1681,30.0,7.0710678118654755,30.0,121.0,121.0,2.0,1
customer1682,220.0,13.416407864998739,110.0,118.0,50.0,5.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1684,250.0,0.001,250.0,364.0,364.0,1.0,0
customer1685,150.0,0.001,150.0,68.0,68.0,1.0,0
customer1686,500.0,0.001,500.0,190.0,190.0,1.0,0
customer1687,50.0,0.001,50.0,227.0,227.0,1.0,0
customer1688,100.0,0.001,100.0,27.0,27.0,1.0,0
customer1689,90.0,7.0710678118654755,90.0,5.0,4.0,2.0,1
customer169,372.0,32.391356871857035,372.0,108.0,106.0,6.0,1
customer1690,30.0,0.001,30.0,60.0,60.0,1.0,0
customer1691,500.0,0.001,500.0,58.0,58.0,1.0,0
customer1692,500.0,0.001,500.0,18.0,18.0,1.0,0
customer1693,30.0,0.001,30.0,301.0,301.0,1.0,0
customer1694,20.0,0.001,20.0,69.0,69.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1696,90.0,5.0,45.0,142.0,11.0,4.0,1
customer1697,50.0,0.001,50.0,188.0,188.0,1.0,0
customer1698,25.0,0.001,25.0,60.0,60.0,1.0,0
customer1699,50.0,0.001,50.0,132.0,132.0,1.0,0
customer17,13395.0,28.09785222416289,1217.7272727272727,361.0,3.0,257.0,1
customer170,1977.0,10.926907619568412,494.25,154.0,2.0,80.0,1
customer1700,50.0,0.001,50.0,43.0,43.0,1.0,0
customer1701,1598.0,451.8864164071911,799.0,126.0,15.0,3.0,1
customer1702,20.0,0.001,20.0,81.0,81.0,1.0,0
customer1703,50.0,0.001,50.0,344.0,344.0,1.0,0
customer1704,950.0,160.72751268321593,950.0,74.0,64.0,3.0,1
customer1705,50.0,0.001,50.0,246.0,246.0,1.0,0
customer1706,250.0,0.001,250.0,363.0,363.0,1.0,0
customer1707,100.0,0.001,100.0,360.0,360.0,1.0,0
customer1708,10.0,0.001,10.0,78.0,78.0,1.0,0
customer1709,20.0,0.001,20.0,318.0,318.0,1.0,0
customer171,4495.39,41.53802402271577,749.2316666666667,205.0,3.0,75.0,1
customer1710,25.0,0.001,25.0,360.0,360.0,1.0,0
customer1711,35.0,3.5355339059327378,35.0,50.0,49.0,2.0,1
customer1712,50.0,0.001,50.0,344.0,344.0,1.0,0
customer1713,20.0,0.001,20.0,26.0,26.0,1.0,0
customer1714,375.0,25.0,187.5,353.0,177.0,5.0,1
customer1715,100.0,0.001,100.0,270.0,270.0,1.0,0
customer1716,25.0,0.001,25.0,59.0,59.0,1.0,0
customer1717,50.0,0.001,50.0,56.0,56.0,1.0,0
customer1718,50.0,0.001,50.0,8.0,8.0,1.0,0
customer1719,250.0,28.867513459481287,250.0,27.0,27.0,3.0,1
customer172,855.0,4.671284140617873,171.0,138.0,25.0,67.0,1
customer1720,500.0,0.001,500.0,93.0,93.0,1.0,0
customer1721,100.0,0.001,100.0,28.0,28.0,1.0,0
customer1722,100.0,0.001,100.0,92.0,92.0,1.0,0
customer1723,55.0,10.408329997330663,27.5,359.0,334.0,3.0,1
customer1724,50.0,0.001,50.0,84.0,84.0,1.0,0
customer1725,400.0,25.819888974716115,133.33333333333334,215.0,50.0,6.0,1
customer1726,100.0,0.001,100.0,278.0,278.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1728,112.0,5.5549205986353085,56.0,77.0,48.0,8.0,1
customer1729,100.0,0.001,100.0,236.0,236.0,1.0,0
customer173,1190.0,31.770813892385814,595.0,249.0,233.0,26.0,1
customer1730,200.0,70.71067811865476,200.0,155.0,154.0,2.0,1
customer1731,50.0,0.001,50.0,45.0,45.0,1.0,0
customer1732,50.0,0.001,50.0,281.0,281.0,1.0,0
customer1733,150.0,35.35533905932738,150.0,144.0,143.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1735,10.0,0.001,10.0,356.0,356.0,1.0,0
customer1736,100.0,0.001,100.0,349.0,349.0,1.0,0
customer1737,65.0,10.606601717798213,65.0,27.0,22.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1739,41.0,0.5000000000000001,20.5,365.0,268.0,4.0,1
customer174,512.0,22.108345649740983,128.0,278.0,206.0,20.0,1
customer1740,100.0,15.275252316519467,100.0,364.0,364.0,3.0,1
customer1741,800.0,57.735026918962575,266.6666666666667,192.0,85.0,4.0,1
customer1742,500.0,0.001,500.0,362.0,362.0,1.0,0
customer1743,40.0,0.001,40.0,233.0,233.0,1.0,0
customer1744,155.0,10.307764064044152,51.666666666666664,308.0,15.0,4.0,1
customer1745,90.0,7.0710678118654755,90.0,350.0,350.0,2.0,1
customer1746,50.0,0.001,50.0,33.0,33.0,1.0,0
customer1747,150.0,35.35533905932738,150.0,363.0,361.0,2.0,1
customer1748,25.0,0.001,25.0,253.0,253.0,1.0,0
customer1749,50.0,0.001,50.0,220.0,220.0,1.0,0
customer175,5684.26,12.24484214616633,516.7509090909091,353.0,15.0,183.0,1
customer1750,100.0,0.001,100.0,8.0,8.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1752,500.0,0.001,500.0,355.0,355.0,1.0,0
customer1753,950.0,57.735026918962575,950.0,359.0,359.0,3.0,1
customer1754,45.0,10.606601717798213,45.0,9.0,8.0,2.0,1
customer1755,100.0,0.001,100.0,59.0,59.0,1.0,0
customer1756,20.0,0.001,20.0,38.0,38.0,1.0,0
